imei,latitude,longitude,timestamp,accelerationInMetersPerSecondSquared,distanceTravelledInKm,distanceTravelledSinceFaultCodesOrClearedInKm,tripOdomenterInKm,vehicleSpeedInKph,boardingCount,alightingCount,numberOfPassengers,altitudeInMeters,gpsAccuracy,deviceCode,ambientAirTemperatureInCelcius,calculatedEngineLoad,engineCoolantTemperature,engineFuelRate,engineOilTemperature,engineRpm,fuelInjectionTiming,fuelPressure,fuelRailTemperatureIntake,manifoldAbsolutePressure,massAirFlowRate,throttlePosition,motorCurrentInXxx,averageFuelUse,directFuelRailPressure
350612076078946,14.6851183,121.085595,2025-01-07 20:46:33+00:00,0,0,0,0,0,0,0,0,110,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:34+00:00,0,0,0,0,0,0,0,0,111,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:35+00:00,0,0,0,0,0,0,0,0,111,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:36+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:37+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:38+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:39+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:40+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:41+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:42+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:43+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:44+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:45+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:46+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:47+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:48+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:49+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:50+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:51+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:52+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:53+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:54+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:55+00:00,0,0,0,0,0,0,0,0,113,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:56+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:57+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:58+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:46:59+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:00+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:01+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:02+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:03+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:04+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:05+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:06+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:07+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:08+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350612076078946,14.6851183,121.085595,2025-01-07 20:47:09+00:00,0,0,0,0,0,0,0,0,112,0,350612076078946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
